name,cas_hint,role,tier,mech,note,cid,cas,inchikey,smiles,formula,dtxsid
warfarin,81-81-2,negative,hard,none_neuro,anticoagulant (has some ToxCast actives),54678486,81-81-2,PJVWKTKQMONHTI-UHFFFAOYSA-N,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,C19H16O4,DTXSID5023742
ibuprofen,15687-27-1,negative,hard,none_neuro,NSAID (carries a curated AD therapeutic link),3672,15687-27-1,HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C13H18O2,DTXSID5020732
troglitazone,97322-87-7,negative,hard,none_neuro,withdrawn antidiabetic; hepatotox; heavily assayed,5591,97322-87-7,GXPHKUHSUJUWKP-UHFFFAOYSA-N,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,C24H27NO5S,DTXSID8023719
fulvestrant,129453-61-8,negative,hard,none_neuro,antiestrogen oncology drug,104741,129453-61-8,VWUXBMIQPBEWFH-WCCTWKNTSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,C32H47F5O3S,DTXSID4022369
fenofibrate,49562-28-9,negative,hard,none_neuro,lipid-lowering fibrate,3339,49562-28-9,YMTINGFKWWXKFG-UHFFFAOYSA-N,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,C20H21ClO4,DTXSID2029874
propiconazole,60207-90-1,negative,hard,none_neuro,triazole fungicide; ToxCast reference chemical,43234,60207-90-1,STJLVHWMYQXCPB-UHFFFAOYSA-N,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,C15H17Cl2N3O2,DTXSID8024280
prochloraz,67747-09-5,negative,hard,none_neuro,"imidazole fungicide; endocrine, non-neuro",73665,67747-09-5,TVLSRXXIMLFWEO-UHFFFAOYSA-N,CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2,C15H16Cl3N3O2,DTXSID4024270
diethyl phthalate,84-66-2,negative,hard,none_neuro,plasticizer; heavily assayed,6781,84-66-2,FLKPEMZONWLCSK-UHFFFAOYSA-N,CCOC(=O)C1=CC=CC=C1C(=O)OCC,C12H14O4,DTXSID7021780
simvastatin,79902-63-9,negative,hard,none_neuro,statin (test: may carry curated AD/PD research link),54454,79902-63-9,RYMZZMVNJRMUDD-HGQWONQESA-N,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,C25H38O5,DTXSID0023581
D-glucose,50-99-7,negative,inert,none,inert reference null (contrast only),5793,50-99-7,WQZGKKKJIJFFOK-GASJEMHNSA-N,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,C6H12O6,DTXSID501015215
sucrose,57-50-1,negative,inert,none,inert reference null (contrast only),5988,57-50-1,CZMRCDWAGMRECN-UGDNZRGBSA-N,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,C12H22O11,DTXSID2021288
sodium chloride,7647-14-5,negative,inert,none,inert reference null (contrast only),5234,7647-14-5,FAPWRFPIFSIZLT-UHFFFAOYSA-M,[Na+].[Cl-],ClNa,DTXSID3021271
